DATE,GDPDEF_PC1
2001-04-01,2.54340
2001-07-01,2.21662
2001-10-01,1.97838
2002-01-01,1.66643
2002-04-01,1.32976
2002-07-01,1.44928
2002-10-01,1.69067
2003-01-01,1.99060
2003-04-01,1.93723
2003-07-01,2.04719
2003-10-01,1.97896
2004-01-01,2.23836
2004-04-01,2.79914
2004-07-01,2.86194
2004-10-01,3.09459
2005-01-01,3.14954
2005-04-01,3.00197
2005-07-01,3.32916
2005-10-01,3.38816
2006-01-01,3.24483
2006-04-01,3.32521
2006-07-01,3.08228
2006-10-01,2.66380
2007-01-01,3.00750
2007-04-01,2.75619
2007-07-01,2.39798
2007-10-01,2.48588
2008-01-01,1.92646
2008-04-01,1.85300
2008-07-01,2.19622
2008-10-01,1.89779
2009-01-01,1.56929
2009-04-01,0.90914
2009-07-01,0.20066
2009-10-01,0.35466
2010-01-01,0.45971
2010-04-01,1.07413
2010-07-01,1.55798
2010-10-01,1.77700
2011-01-01,1.86725
2011-04-01,2.15613
2011-07-01,2.30605
2011-10-01,1.93038
2012-01-01,2.01857
2012-04-01,1.74318
2012-07-01,1.67682
2012-10-01,1.94193
2013-01-01,1.80250
2013-04-01,1.55037
2013-07-01,1.49373
2013-10-01,1.60570
2014-01-01,1.63048
2014-04-01,1.99118
2014-07-01,1.96388
2014-10-01,1.58776
2015-01-01,1.15004
2015-04-01,1.12612
2015-07-01,1.00653
2015-10-01,1.06818
2016-01-01,1.14886
2016-04-01,1.21274
2016-07-01,1.21684
2016-10-01,1.51747
2017-01-01,1.95692
2017-04-01,1.60001
2017-07-01,1.77912
2017-10-01,1.85845
2018-01-01,1.90960
