User,GamerTag,Platform
Icemanissac,icemanisaac%231815,battle
Swagg,doozy%252311186,battle
Quants,Quants%2321461,battle
Huskerrs,huskerrs%25231343,battle
Symfuhny,Symfuhny%235773991,acti
Aydan,aydan%252311691,battle
Zlaner,zlaner%25231347,battle
Iron,iron%2311745,battle
TeePee,teepee%231840,battle
BBREADMAN,bbreadman%231673,battle
SuperEvan,superevan-_-,psn
BONQ,bonq%2311222,battle
FifaKill,fifakill%232291605,acti
Scummn,ballum%25231218,battle
Diaz Biffle,diazbiffle%25231415,battle
Joe Wo,nrg%20joewo%232631118,acti
Yeet,yeet%252311987,battle
Jared FPS,jaredfps%231454,battle
OPMarked,OPMarked%235472400,acti
Stukawaki,Stukawaki%232438194,acti
Shadestep,shadedstep%231738,battle
Metaphor,metaphor%2311972,battle
MuTeX,Canadianbacon%239358527,acti
Wagnificent,codewags%25231506,battle
bruse,bruse%252311660,battle
Robert,robert%252327257,battle
Famedaking,famedk%252321766,battle
S1D,s1d%252311280,battle
Kiuy,kiuy%252311194,battle
Davizzera,davizzera%234710878,acti
Ferkull,ferkull%231344,battle
ArtIsWar,artiswar%2311991,battle
Apilli,apilli%233601080,acti
Kyzeh,kyzeh%235184440,acti
Perry,agentperry%252311266,battle
KingAJ,ajwarzone%25232853,battle
Ripzz,ripzz%238434368,acti
Sympathy,sympathy666%25232299,battle
Czathu,czathu%25232753,battle
A1PERO,a1pero%25232234,battle
IcyDiamond,icydiamond%25232262,battle
Nigel,nigel046%25232481,battle
KiingAlex,kiingalex%25232830,battle
Paddon,paddon%252311729,battle
Mauanne,mauanne,psn
Random1,talim%252311364,battle
Random2,mynamdoesntfi,psn
Random3,r_paciotta,psn
Random4,dreiu%252321475,battle
Random5,kid1580,psn
Random6,vip_ekis,psn
Random7,was_it-me-laggin,psn
Random8,x00%252311835,battle
Random9,campbizzle%252311656,battle
Random10,blaked,xbl
Random11,drakosmoke81,xbl
Random12,rexercist,xbl
Random13,g%20pap%231844409,acti
Random14,ensi7-7,psn
Random15,mbanana_joem,psn
Random16,supercarlos%252311256,battle
Random17,xsereno%25231211,battle
