DATE,FYFSD
1901,63
1902,77
1903,45
1904,-43
1905,-23
1906,25
1907,87
1908,-57
1909,-89
1910,-18
1911,11
1912,3
1913,0
1914,0
1915,-63
1916,48
1917,-853
1918,-9032
1919,-13363
1920,291
1921,509
1922,736
1923,713
1924,963
1925,717
1926,865
1927,1155
1928,939
1929,734
1930,738
1931,-462
1932,-2735
1933,-2602
1934,-3586
1935,-2803
1936,-4304
1937,-2193
1938,-89
1939,-2846
1940,-2920
1941,-4941
1942,-20503
1943,-54554
1944,-47557
1945,-47553
1946,-15936
1947,4018
1948,11796
1949,580
1950,-3119
1951,6102
1952,-1519
1953,-6493
1954,-1154
1955,-2993
1956,3947
1957,3412
1958,-2769
1959,-12849
1960,301
1961,-3335
1962,-7146
1963,-4756
1964,-5915
1965,-1411
1966,-3698
1967,-8643
1968,-25161
1969,3242
1970,-2842
1971,-23033
1972,-23373
1973,-14908
1974,-6135
1975,-53242
1976,-73732
1977,-53659
1978,-59185
1979,-40726
1980,-73830
1981,-78968
1982,-127977
1983,-207802
1984,-185367
1985,-212308
1986,-221227
1987,-149730
1988,-155178
1989,-152639
1990,-221036
1991,-269238
1992,-290321
1993,-255051
1994,-203186
1995,-163952
1996,-107431
1997,-21884
1998,69270
1999,125610
2000,236241
2001,128236
2002,-157758
2003,-377585
2004,-412727
2005,-318346
2006,-248181
2007,-160701
2008,-458553
2009,-1412688
2010,-1294373
2011,-1299599
2012,-1086955
2013,-679542
2014,-484600
2015,-438496
2016,-584651
2017,-665826
1/1/2018,49237
2/1/2018,-215239
3/1/2018,-208743
4/1/2018,214255
5/1/2018,-146796
6/1/2018,-74858
7/1/2018,-76865
8/1/2018,-214148
9/1/2018,119116
10/1/2018,-100491
